,Artist,Marketing Manager,Social Worker,Attorney,Journalist,Musician,Teacher,Media Manager,Graphic Designer,Judge
Mary,0.7310177,0.58656275,0.5905772,0.73490876,0.67223537,0.7337288,0.74986666,0.53879035,0.62241817,0.7739173
Elizabeth,0.713685,0.59942925,0.61400455,0.7331511,0.67140687,0.7333026,0.74114287,0.5504052,0.63496906,0.7590187
Patricia,0.7484617,0.6406942,0.6512265,0.7697474,0.70921475,0.7716867,0.7724408,0.5936729,0.6720521,0.7907783
Jennifer,0.7524425,0.6246357,0.6027595,0.7402806,0.70976865,0.74445826,0.7684827,0.58249557,0.6558357,0.7764899
Linda,0.72947603,0.6385187,0.62611765,0.7695537,0.6939924,0.76866126,0.7507822,0.5784222,0.6503026,0.77296555
Barbara,0.72049415,0.6478853,0.6463226,0.7550291,0.6916243,0.7512877,0.74538434,0.5992804,0.66652614,0.7519227
Margaret,0.66670835,0.5998827,0.6308026,0.7193507,0.6462089,0.71058846,0.68671817,0.54768825,0.628899,0.7061396
Susan,0.73276556,0.6048664,0.6054318,0.7498015,0.68481255,0.7360509,0.7498276,0.5510734,0.6359583,0.7683082
Dorothy,0.71511567,0.6223356,0.6281171,0.7483512,0.6824439,0.74935913,0.7506067,0.5713539,0.6379155,0.7771821
Sarah,0.73763514,0.6102173,0.59945524,0.7425063,0.6927288,0.74701184,0.7522047,0.57002103,0.6468885,0.7684306
Jessica,0.7288007,0.5932225,0.589169,0.7309121,0.68818194,0.7129189,0.74826586,0.5539403,0.62936616,0.7651459
Helen,0.7283267,0.59662795,0.59415,0.7259245,0.6745482,0.7292485,0.7365222,0.55221117,0.6269026,0.74930704
Nancy,0.7622533,0.63684714,0.6227421,0.77103233,0.71762955,0.7743951,0.7803434,0.58246446,0.66248816,0.79961956
Betty,0.72525996,0.6344498,0.6214283,0.7488127,0.6783683,0.74321824,0.74445194,0.56752384,0.63895094,0.77683794
Karen,0.7262002,0.59436387,0.61067945,0.73039913,0.6787268,0.72165835,0.7380658,0.5467583,0.6241701,0.7697162
Lisa,0.74536,0.62508893,0.59955573,0.754317,0.6936504,0.74424976,0.7617653,0.5715852,0.63393927,0.7898935
Anna,0.71849847,0.5986551,0.58837175,0.69179165,0.65758026,0.72350395,0.7105196,0.5497099,0.63329273,0.7374258
Sandra,0.69952065,0.5619348,0.5865227,0.70920014,0.6503631,0.7110838,0.707654,0.532754,0.6068434,0.7574596
Emily,0.6274257,0.5507957,0.57501745,0.6523894,0.6363101,0.63486516,0.698786,0.538845,0.61044246,0.66752976
Ashley,0.721347,0.598613,0.5813168,0.73524857,0.66404724,0.7258369,0.7271426,0.553643,0.6212173,0.7548156
