,rude,lazy,disagreeable,lousy,sad,hate,violent,bitter,harsh,angry
Mary,0.84048784,0.8420383,0.5692197,0.601719,0.8261563,0.85419583,0.82958585,0.8583843,0.8399032,0.8762093
Elizabeth,0.85358715,0.8485579,0.58197546,0.6053528,0.8433438,0.85416883,0.8331861,0.8653615,0.85000134,0.88152635
Patricia,0.85889125,0.8600924,0.595379,0.6116083,0.84791493,0.8585414,0.8417359,0.8751259,0.85804594,0.8909402
Jennifer,0.8566798,0.8609122,0.59555733,0.61180925,0.8585366,0.8648342,0.83807635,0.8775627,0.85711277,0.8939241
Linda,0.8545904,0.8541328,0.5896958,0.60846496,0.8510231,0.85738355,0.832153,0.8665924,0.84946114,0.8861506
Barbara,0.8499917,0.8500553,0.5901623,0.6122925,0.84676015,0.8547801,0.83322227,0.8694036,0.85076624,0.88398933
Margaret,0.85492134,0.84819496,0.58676285,0.6109289,0.8493837,0.8598089,0.83661,0.8690547,0.8545481,0.884749
Susan,0.86375815,0.8589988,0.5956881,0.61516666,0.85264003,0.86824286,0.83501613,0.88036484,0.8587319,0.8945502
Dorothy,0.85420966,0.85827076,0.5900648,0.61685914,0.8463877,0.85775954,0.83776206,0.8744241,0.85835844,0.89067644
Sarah,0.86737573,0.8530069,0.585184,0.61777604,0.85154116,0.8617992,0.8246837,0.8733715,0.8599748,0.89193785
Jessica,0.86411387,0.8617269,0.60402566,0.6175332,0.8616219,0.87418586,0.8359821,0.8802488,0.8686013,0.893906
Helen,0.8597805,0.8540509,0.5895786,0.61343527,0.85047853,0.864916,0.8341101,0.87373036,0.85514224,0.8931396
Nancy,0.8610559,0.86551714,0.5898348,0.6206043,0.8566966,0.8705138,0.83673173,0.87936556,0.8618843,0.89284533
Betty,0.85648876,0.8575173,0.58514166,0.619124,0.85055524,0.87211496,0.8379504,0.8804222,0.8591172,0.89324236
Karen,0.88163424,0.8735369,0.6053653,0.6322775,0.8759873,0.88531923,0.84152204,0.88973045,0.8741312,0.8997266
Lisa,0.86816496,0.85947514,0.5917025,0.62236285,0.8617345,0.8768122,0.82377183,0.87846893,0.8536252,0.89126945
Anna,0.8537221,0.8446847,0.59157115,0.611893,0.8439613,0.8540778,0.82858855,0.8695582,0.8478427,0.8872613
Sandra,0.8544377,0.84755546,0.59160304,0.6087046,0.85281956,0.86130404,0.8313103,0.87211514,0.8529731,0.8892792
Emily,0.87123156,0.8641578,0.60352504,0.62203056,0.8660921,0.8735979,0.8425905,0.8881289,0.86902696,0.8977758
Ashley,0.86438686,0.87140167,0.6255137,0.6249589,0.8928211,0.89879036,0.8506788,0.8948327,0.8790329,0.9025223
